student_id,name,birth_date,date_of_entry,class,dream_job
1255774,Jennifer Williams,2004-12-23,2020-03-20,B,
3049836,James Carpenter,1998-09-21,2023-11-20,C,
7942146,Sally Marshall,2002-09-21,2022-12-01,A,Contracting civil engineer
3454046,Carol Mendoza,1998-01-20,2021-09-22,A,
8512943,Regina Welch,2000-01-09,2022-01-26,B,
2590360,Ryan Spencer,1998-08-26,2021-04-10,C,
2710917,Kathryn Stephens,2002-03-02,2023-10-05,A,
785982,Timothy Martin,2003-12-21,2020-09-20,A,
3441469,Melanie Gonzalez,1999-05-10,2020-11-09,A,Product manager
3260151,Nicholas Henry,2005-12-19,2023-09-07,C,
8534092,Sean Delacruz,2005-06-25,2021-04-02,A,
3623351,Debra Scott,2002-03-16,2023-02-24,A,
5188942,Theresa Alexander,2003-01-12,2022-12-03,B,
7970624,Steven Smith,1999-03-21,2023-02-09,A,
3544422,Christina Becker,2004-01-24,2023-08-30,C,
3359803,Kim Sharp,2003-07-21,2021-02-16,A,
326616,Brian Navarro,2004-11-01,2021-04-05,C,Secretary/administrator
9232252,Joseph Russell,2001-10-08,2023-10-31,B,
9920169,Traci Ferguson,2003-07-04,2023-08-02,A,Training and development officer
2370917,Steve Holt,1999-12-03,2023-01-11,B,Psychotherapist
7174284,Alyssa Simmons,1999-05-13,2020-06-14,B,
5212123,Colin Jones,1998-05-12,2023-03-14,C,
8442030,Maureen Christensen,1998-05-29,2022-02-23,B,"Lecturer, higher education"
9584473,Kristin Cruz,1999-08-17,2021-07-30,B,Learning mentor
4824976,Dana Harrington,1998-08-21,2023-10-09,A,Planning and development surveyor
1380288,Mark Barrett,2004-02-07,2020-12-14,C,
6155324,Nicole Williams,2004-08-05,2023-07-27,B,
5808053,David Jones,1998-05-31,2022-08-12,C,"Teacher, English as a foreign language"
1593201,Shawn Hall,2000-04-09,2020-05-07,B,
3908201,Elizabeth Grimes,2005-06-30,2020-11-06,B,
9153001,Alicia Johnson,2003-10-02,2022-12-15,A,Clinical biochemist
1923622,Tamara Lang,1999-06-25,2023-05-13,A,
1214485,Cindy Cobb,2000-07-23,2022-04-29,C,Medical technical officer
2796373,Todd Harris,2001-12-06,2022-10-25,B,Actor
113740,Christopher Porter,2004-10-17,2020-10-10,A,Lexicographer
1390589,Dr. Lisa Thompson,2003-04-25,2020-05-03,B,
97681,Tracy Lynch,2002-11-04,2020-06-12,A,Economist
4520278,Anthony Fuller,2004-05-20,2022-05-28,B,
5144822,Shelby Carter,2004-04-02,2021-08-15,A,Counselling psychologist
2875262,Shirley Hebert,1998-06-24,2022-03-07,B,
9910164,Rachel Snow,2001-06-08,2021-03-26,A,Nature conservation officer
1202020,Martha Willis,2004-12-20,2022-05-31,A,"Doctor, general practice"
1453370,Katrina Moore,2004-12-02,2020-08-13,B,
5904964,Shannon Kim,2005-01-05,2021-02-04,C,
8016376,Robert Schmidt,2003-04-09,2021-12-03,B,
2702463,Jennifer Wood,2002-08-04,2021-08-26,B,
9055336,Michael Walker,2004-12-12,2023-05-28,A,Professor Emeritus
4924839,Melissa Foster,2002-05-18,2022-04-13,C,
9542443,Kelsey Johnston,2000-12-08,2021-04-26,A,
1938952,Ronald Jones,2000-04-09,2020-08-15,A,
7091088,Juan Carr,2004-03-11,2021-05-15,A,"Conservation officer, historic buildings"
3766359,Jessica Benjamin,2003-10-07,2021-11-28,C,"Physicist, medical"
736180,Scott Pittman,2003-06-22,2022-12-05,C,Data processing manager
8107255,Jordan Lewis,2001-07-19,2021-06-04,C,Restaurant manager
4473552,Jared Pena,2004-12-09,2021-09-09,B,
1803443,Thomas Chapman,2000-03-19,2023-02-28,B,Associate Professor
4301143,Donald Hogan,2002-08-10,2020-01-27,B,"Presenter, broadcasting"
3070940,James Diaz,2002-05-10,2020-08-27,A,
2321576,Eric Warner,2002-02-03,2023-02-13,A,"Programmer, systems"
3589781,Samuel Morrow,2001-09-05,2021-10-19,A,
8115592,Brian Jimenez,2001-04-21,2022-07-14,C,
1582591,Michael Brown,2005-08-16,2023-01-13,B,
6227747,Mary Moore,2000-08-31,2021-03-05,C,
8566309,Tricia Day,1999-12-21,2022-03-07,B,Plant breeder/geneticist
9327596,Kim Jones,2003-02-22,2020-06-24,B,"Therapist, art"
1036285,Shelley Cox,2001-04-09,2020-12-02,B,"Engineer, manufacturing systems"
4595242,Hannah Walsh,1999-10-25,2023-10-31,B,
